year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1989,j) 10000+,1049,337853,21226507,21128149,40050,11.976,33187,9.924,2825276,964134,1861142,4.563,13.372,2656673,802164,1854509,3.797,12.574,168603,0.798,25.148,0,0,0
1990,a) 1 to 4,2540734,2549159,6181562,6052659,523871,20.807,460981,18.310,2129801,1393588,736213,23.024,35.188,1871821,1192478,679343,19.702,30.926,257980,4.262,61.851,377086,379764,1007727
1990,b) 5 to 9,880675,903539,6287564,6214507,43455,4.818,40261,4.464,1395327,527206,868121,8.483,22.453,1250025,494039,755986,7.950,20.115,145302,2.338,40.229,32862,35054,436173
1990,c) 10 to 19,523579,569190,7448526,7360070,21557,3.793,19941,3.508,1448796,462077,986719,6.278,19.685,1272692,448080,824612,6.088,17.292,176104,2.393,34.584,14848,16941,399559
1990,d) 20 to 99,428357,586304,17331455,17115335,28260,4.852,20632,3.542,2960612,852510,2108102,4.981,17.298,2530064,752770,1777294,4.398,14.782,430548,2.516,29.565,8374,11168,600983
1990,e) 100 to 499,69054,254484,13256293,13103803,20354,8.090,14576,5.793,2066589,611610,1454979,4.667,15.771,1762386,478212,1284174,3.649,13.449,304203,2.321,26.899,707,1911,237237
1990,f) 500 to 999,7971,83155,4798132,4721702,9305,11.473,5196,6.407,695120,215601,479519,4.566,14.722,541015,132766,408249,2.812,11.458,154105,3.264,22.916,15,41,20216
1990,g) 1000 to 2499,5123,103230,6615620,6550757,9453,9.295,6389,6.282,853058,287713,565345,4.392,13.022,724060,173593,550467,2.650,11.053,128998,1.969,22.106,5,5,12215
1990,h) 2500 to 4999,1946,84010,4787974,4714965,8729,10.622,5059,6.156,629888,222129,407759,4.711,13.359,481973,123265,358708,2.614,10.222,147915,3.137,20.444,D,D,D
1990,i) 5000 to 9999,1118,87759,4904642,4829648,6589,7.560,5378,6.171,674222,208775,465447,4.323,13.960,526152,126504,399648,2.619,10.894,148070,3.066,21.788,0,0,0
1990,j) 10000+,1078,350306,22074832,21941374,28813,8.276,24540,7.048,2648088,784843,1863245,3.577,12.069,2377425,643172,1734253,2.931,10.835,270663,1.234,21.671,0,0,0
1991,a) 1 to 4,2527216,2536304,6020405,6074038,481149,18.961,483576,19.057,1916928,1254112,662816,20.647,31.559,2025902,1256726,769176,20.690,33.353,-108974,-1.794,63.119,389572,392247,1047931
1991,b) 5 to 9,883721,908833,6162126,6235578,44906,4.948,42464,4.679,1258515,506602,751913,8.124,20.183,1404093,528450,875643,8.475,22.517,-145578,-2.335,40.366,34740,36498,462909
1991,c) 10 to 19,524588,576822,7240332,7344798,30454,5.316,22534,3.934,1312056,494397,817659,6.731,17.864,1520876,514864,1006012,7.010,20.707,-208820,-2.843,35.727,16719,18877,456044
1991,d) 20 to 99,419846,596266,16496811,16831347,45574,7.748,29459,5.008,2735858,987609,1748249,5.868,16.255,3404720,1079120,2325600,6.411,20.228,-668862,-3.974,32.509,11564,15348,858122
1991,e) 100 to 499,67019,261635,12618359,12835192,23823,9.230,16746,6.488,1833180,645537,1187643,5.029,14.282,2270012,663699,1606313,5.171,17.686,-436832,-3.403,28.565,1127,3234,385163
1991,f) 500 to 999,7921,81736,4647875,4702181,8035,9.941,6211,7.685,602041,206111,395930,4.383,12.803,711345,208509,502836,4.434,15.128,-109304,-2.325,25.607,53,320,71853
1991,g) 1000 to 2499,5166,106812,6579499,6613603,10488,9.950,7674,7.280,789599,288927,500672,4.369,11.939,860123,250684,609439,3.790,13.005,-70524,-1.066,23.878,21,51,59276
1991,h) 2500 to 4999,1964,83212,4667961,4693098,8879,10.882,5645,6.918,540557,195466,345091,4.165,11.518,591917,169033,422884,3.602,12.613,-51360,-1.094,23.036,D,D,D
1991,i) 5000 to 9999,1168,90186,4858450,4889772,6200,6.869,6346,7.031,541350,168949,372401,3.455,11.071,601207,164377,436830,3.362,12.295,-59857,-1.224,22.142,0,0,0
1991,j) 10000+,1012,364228,22166556,22358257,30762,8.473,28389,7.820,2450253,864250,1586003,3.865,10.959,2841018,663492,2177526,2.968,12.707,-390765,-1.748,21.918,D,D,D
